y,pred
[[380.79998779]],[[379.97578646]]
[[381.75]],[[380.8752199]]
[[379.19000244]],[[381.82681775]]
[[380.51000977]],[[379.26105021]]
[[381.54000854]],[[380.57648816]]
[[383.01998901]],[[381.60482909]]
[[383.11499023]],[[383.08628952]]
[[385.3999939]],[[383.18348512]]
[[384.73999023]],[[385.46759653]]
[[385.]],[[384.80493161]]
[[382.1000061]],[[385.05944051]]
[[382.92999268]],[[382.15831563]]
[[385.22000122]],[[382.99043028]]
[[382.67999268]],[[385.28274619]]
[[382.38000488]],[[382.74568975]]
[[380.44000244]],[[382.4491333]]
[[380.26501465]],[[380.50952136]]
[[377.77999878]],[[380.3288352]]
[[377.1000061]],[[377.84017664]]
[[380.48001099]],[[377.16165465]]
[[379.3500061]],[[380.5458208]]
[[379.54000854]],[[379.41635815]]
[[380.42001343]],[[379.60630051]]
[[388.75]],[[380.48991984]]
[[388.82998657]],[[388.82179629]]
[[389.75]],[[388.89998121]]
[[389.08999634]],[[389.82114757]]
[[385.45999146]],[[389.15878544]]
[[384.92999268]],[[385.52427608]]
[[382.14001465]],[[384.99139983]]
