y,pred
[[64.15319824]],[[62.84134836]]
[[63.75]],[[64.16472804]]
[[64.51999664]],[[63.76135902]]
[[63.42010117]],[[64.53121813]]
[[64.02999878]],[[63.43099669]]
[[62.59999847]],[[64.04123404]]
[[61.97999954]],[[62.6115341]]
[[62.13999939]],[[61.99203833]]
[[62.21500015]],[[62.15253547]]
[[62.29999924]],[[62.22762692]]
[[61.93000031]],[[62.31252118]]
[[63.54990005]],[[61.94266521]]
[[63.36999893]],[[63.56280485]]
[[63.77999878]],[[63.38237522]]
[[63.81000137]],[[63.79185449]]
[[63.75999832]],[[63.8211493]]
[[63.95000076]],[[63.77063396]]
[[64.51000214]],[[63.96016066]]
[[64.13999939]],[[64.52015631]]
[[63.65000153]],[[64.14990107]]
[[63.84000015]],[[63.65946288]]
[[64.73999786]],[[63.84947167]]
[[64.29000092]],[[64.74964367]]
[[64.11000061]],[[64.2995962]]
[[64.55000305]],[[64.1197577]]
[[65.62000275]],[[64.56075916]]
[[65.70999908]],[[65.63215307]]
[[65.97000122]],[[65.72328328]]
[[65.87000275]],[[65.9838091]]
[[65.70500183]],[[65.88375559]]
[[66.16999817]],[[65.71815284]]
[[67.62000275]],[[66.18271967]]
[[67.68000031]],[[67.63342722]]
[[67.21230316]],[[67.69324659]]
[[67.44999695]],[[67.22497867]]
[[66.91000366]],[[67.46191523]]
[[67.41000366]],[[66.92134745]]
[[67.52999878]],[[67.420991]]
[[66.94999695]],[[67.54071838]]
[[66.98000336]],[[66.96076265]]
[[66.61000061]],[[66.99087968]]
[[66.5]],[[66.62118137]]
[[66.63999939]],[[66.51156263]]
[[66.58000183]],[[66.65167772]]
